ModelName,ProductColor,ProductCost,ProductDescription,ProductsKey,ProductName,ProductPrice,ProductSize,ProductSKU,ProductStyle,SubcategoryName,CategoryName
Touring-2000,Blue,755.1508,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",579,"Touring-2000 Blue, 54",1214.85,54,BK-T44U-54,U,Touring Bikes,Bikes
Touring-3000,Blue,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",565,"Touring-3000 Blue, 54",742.35,54,BK-T18U-54,U,Touring Bikes,Bikes
Touring-3000,Blue,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",566,"Touring-3000 Blue, 58",742.35,58,BK-T18U-58,U,Touring Bikes,Bikes
Touring-3000,Blue,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",567,"Touring-3000 Blue, 62",742.35,62,BK-T18U-62,U,Touring Bikes,Bikes
Touring-3000,Blue,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",585,"Touring-3000 Blue, 44",742.35,44,BK-T18U-44,U,Touring Bikes,Bikes
Touring-3000,Blue,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",586,"Touring-3000 Blue, 50",742.35,50,BK-T18U-50,U,Touring Bikes,Bikes
Touring-3000,Yellow,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",568,"Touring-3000 Yellow, 44",742.35,44,BK-T18Y-44,U,Touring Bikes,Bikes
Touring-3000,Yellow,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",569,"Touring-3000 Yellow, 50",742.35,50,BK-T18Y-50,U,Touring Bikes,Bikes
Touring-3000,Yellow,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",570,"Touring-3000 Yellow, 54",742.35,54,BK-T18Y-54,U,Touring Bikes,Bikes
Touring-3000,Yellow,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",571,"Touring-3000 Yellow, 58",742.35,58,BK-T18Y-58,U,Touring Bikes,Bikes
Touring-3000,Yellow,461.4448,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",572,"Touring-3000 Yellow, 62",742.35,62,BK-T18Y-62,U,Touring Bikes,Bikes
Touring-Panniers,Grey,51.5625,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",446,"Touring-Panniers, Large",125,0,PA-T100,0,Panniers,Accessories
Water Bottle,NA,1.8663,AWC logo water bottle - holds 30 oz; leak-proof.,477,Water Bottle - 30 oz.,4.99,0,WB-H098,0,Bottles and Cages,Accessories
Women's Mountain Shorts,Black,26.1763,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",474,"Women's Mountain Shorts, S",69.99,S,SH-W890-S,W,Shorts,Clothing
Women's Mountain Shorts,Black,26.1763,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",475,"Women's Mountain Shorts, M",69.99,M,SH-W890-M,W,Shorts,Clothing
Women's Mountain Shorts,Black,26.1763,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",476,"Women's Mountain Shorts, L",69.99,L,SH-W890-L,W,Shorts,Clothing
Women's Tights,Black,30.9334,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,456,"Women's Tights, S",74.99,S,TG-W091-S,W,Tights,Clothing
Women's Tights,Black,30.9334,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,457,"Women's Tights, M",74.99,M,TG-W091-M,W,Tights,Clothing
Women's Tights,Black,30.9334,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,458,"Women's Tights, L",74.99,L,TG-W091-L,W,Tights,Clothing
